lookback_window,forecast_date,start_price,actual_final_price,median_mc_final_price,mean_mc_final_price,p16_final,p84_final,p025_final,p975_final,in_68_band,in_95_band,abs_pct_error_final,prob_mc_final_below_actual,prob_mc_final_above_actual,mu_daily_used,sigma_daily_used,ann_mu_used,ann_vol_used,n_sims,horizon_days,step_days
30,2025-11-19,13.521196365356445,8.830567359924316,8.74391222000122,9.68887686419487,5.686518669128418,13.75531005859375,3.7996020317077637,20.782594680786133,True,True,0.9813088603611408,0.509,0.491,-0.0037495970844451526,0.045572752480043534,-1.3686029358224807,0.8706662136213106,1000,90,1
30,2025-11-20,12.925078392028809,8.598905563354492,7.141385078430176,7.810819399118423,4.91897439956665,10.920483589172363,3.4272525310516357,15.430015563964844,True,True,16.95006968253908,0.674,0.326,-0.005366473186717221,0.04272526898929783,-1.9587627131517855,0.8162651179156604,1000,90,1
30,2025-11-21,12.119377136230469,8.56949520111084,7.092953681945801,7.695769700765609,4.646613121032715,10.671502113342285,3.3110191822052,15.230721473693848,True,True,17.23020416621085,0.667,0.333,-0.005172379527973853,0.04234410429100379,-1.8879185277104564,0.8089829765796701,1000,90,1
30,2025-11-22,12.172947883605957,8.94140625,6.591645002365112,7.227746429920196,4.399710655212402,9.913763046264648,2.985905408859253,15.025657653808594,True,True,26.279549121648373,0.757,0.243,-0.0058420506064075055,0.04341873489468473,-2.1323484713387395,0.8295137654355371,1000,90,1
30,2025-11-23,12.509099006652832,8.876015663146973,6.699981927871704,7.306041623592376,4.592180252075195,9.902080535888672,3.0985805988311768,15.287981986999512,True,True,24.51588435462224,0.766,0.234,-0.00596962704205719,0.0432966784670067,-2.1789138703508746,0.8271818806589679,1000,90,1
30,2025-11-24,12.964276313781738,8.672669410705566,6.932120084762573,7.644130882263184,4.537408828735352,10.417458534240723,3.0770936012268066,16.289018630981445,True,True,20.069360925881185,0.702,0.298,-0.005951990367329143,0.043329225199574356,-2.172476484075137,0.827803685111592,1000,90,1
30,2025-11-25,13.065637588500977,8.265229225158691,7.296219825744629,7.978767184734345,4.770641803741455,11.181158065795898,3.4021084308624268,16.533153533935547,True,True,11.723926499999248,0.624,0.376,-0.005485285167048481,0.044062385156003095,-2.0021290859726957,0.841810686411812,1000,90,1
30,2025-11-26,13.45560073852539,8.203102111816406,7.309485912322998,8.108223904132844,4.797738552093506,11.308226585388184,3.355835437774658,16.778873443603516,True,True,10.893637398541845,0.607,0.393,-0.005832677510085535,0.043578067328785004,-2.1289272911812205,0.8325578073148575,1000,90,1
30,2025-11-27,13.348663330078125,9.256296157836914,7.718488693237305,8.482493803143502,4.890405178070068,11.929244995117188,3.3648500442504883,17.906787872314453,True,True,16.613637230023294,0.66,0.34,-0.005049208608710177,0.044198101662271665,-1.8429611421792147,0.8444035466234157,1000,90,1
30,2025-11-28,13.13994026184082,9.09846019744873,7.84381103515625,8.530805322170258,5.272700309753418,12.018299102783203,3.4147205352783203,17.54581642150879,True,True,13.789686771881382,0.631,0.369,-0.004834004085668053,0.04415222009492911,-1.7644114912688393,0.8435269805101302,1000,90,1
30,2025-11-29,13.0029296875,8.708776473999023,7.325482130050659,8.011062274694442,4.7471723556518555,11.124857902526855,3.049034833908081,16.065786361694336,True,True,15.883911455051535,0.626,0.374,-0.005347060612296794,0.04391566545123958,-1.9516771234883297,0.8390076103881282,1000,90,1
30,2025-11-30,12.981496810913086,8.843730926513672,8.268941879272461,8.810125324487686,5.386138439178467,11.999091148376465,3.743028163909912,17.74482536315918,True,True,6.4993954702758145,0.561,0.439,-0.004274774403712761,0.04221417502624027,-1.5602926573551579,0.806500681461775,1000,90,1
30,2025-12-01,12.08540153503418,8.67234992980957,7.286953449249268,7.872443125009537,5.0626702308654785,10.574762344360352,3.4216060638427734,16.51707649230957,True,True,15.974868308741364,0.688,0.312,-0.00472849809764583,0.04174535512633941,-1.725901805640728,0.7975438898504771,1000,90,1
30,2025-12-02,13.510494232177734,8.94849681854248,7.504440784454346,8.135270196080208,4.9093217849731445,11.289334297180176,3.2555432319641113,16.4835262298584,True,True,16.137414622485625,0.661,0.339,-0.005805805511633295,0.04324921960283118,-2.1191190117461525,0.8262751803320002,1000,90,1
30,2025-12-03,14.687666893005371,8.81236743927002,8.845646381378174,9.845618342876435,5.41519021987915,14.123969078063965,3.4860944747924805,21.72743034362793,True,True,0.3776390662043383,0.499,0.501,-0.004406233203716585,0.04829105361971594,-1.6082751193565537,0.922599283975081,1000,90,1
30,2025-12-04,14.254020690917969,9.348464965820312,12.172178268432617,13.317515693426133,8.15616226196289,18.619909286499023,5.513967514038086,26.86664390563965,True,True,30.20510118972808,0.267,0.733,-0.000618382814828478,0.044035103361008486,-0.22570972741239448,0.8412894684502866,1000,90,1
30,2025-12-05,13.607115745544434,9.196874618530273,11.98271894454956,13.043673214912415,7.946078300476074,18.03986930847168,5.020618915557861,26.254426956176758,True,True,30.291206975968166,0.262,0.738,-0.0005411295595003212,0.043921975502483605,-0.19751228921761724,0.8391281637478752,1000,90,1
30,2025-12-06,13.926069259643555,8.793665885925293,11.175974369049072,11.99947706913948,6.940579414367676,16.571760177612305,4.890063762664795,25.001239776611328,True,True,27.091187157073882,0.29,0.71,-0.0017904619124298198,0.04431070330657285,-0.6535185980368842,0.8465547980171992,1000,90,1
30,2025-12-07,13.642915725708008,8.694977760314941,11.637050151824951,12.792812312602997,7.661512851715088,17.630704879760742,5.256565570831299,26.604328155517578,True,True,33.83645677551963,0.24,0.76,-0.0009202876766513118,0.04430156946679278,-0.3359050019777288,0.8463802962532203,1000,90,1
30,2025-12-08,13.748384475708008,8.523436546325684,10.327297687530518,11.282025769233703,7.131400108337402,15.28274917602539,4.851576328277588,22.570213317871094,True,True,21.16354279639061,0.309,0.691,-0.002413786179641246,0.042332973979969074,-0.8810319555690548,0.8087703322859274,1000,90,1
30,2025-12-09,14.41729736328125,9.003727912902832,10.852275371551514,11.757860121250152,7.430359840393066,16.119525909423828,4.833663463592529,24.20747184753418,True,True,20.530912045882822,0.324,0.676,-0.002015152810339704,0.04233630285005667,-0.735530775773992,0.8088339302596526,1000,90,1
90,2021-01-01,11.872554779052734,30.233219146728516,11.563743114471436,12.880803305864335,7.310718536376953,18.423030853271484,4.258793830871582,29.101381301879883,False,False,61.75153211985126,0.98,0.02,0.0011128161687833837,0.05199474907745803,0.4061779016059351,0.9933582863419197,1000,90,1
90,2021-01-02,12.220136642456055,32.53324890136719,12.061163425445557,13.583330795288086,7.101030349731445,19.46135711669922,4.625974655151367,31.239734649658203,False,False,62.92665555164183,0.977,0.023,0.0013540667718139681,0.05225551562099649,0.4942343717120984,0.9983402241610402,1000,90,1
90,2021-01-03,13.650172233581543,29.534889221191406,13.242457866668701,15.210308649539947,8.220443725585938,22.45134735107422,5.24422025680542,33.96762466430664,False,True,55.16333998243954,0.948,0.052,0.0014547401828297812,0.052321659448287164,0.5309801667328702,0.99960390020709,1000,90,1
90,2021-01-04,13.571063041687012,30.9572811126709,14.163762092590332,16.37458603811264,8.408550262451172,24.210783004760742,5.006147384643555,40.69792556762695,False,True,54.247396465340536,0.926,0.074,0.001941794562470455,0.053502625691634324,0.708755015301716,1.022166228606278,1000,90,1
90,2021-01-05,14.539868354797363,32.39665603637695,15.800986766815186,18.154019870996475,10.043991088867188,26.19643783569336,6.45870304107666,41.97175216674805,False,True,51.226488471301266,0.919,0.081,0.0024197017270474416,0.052533015465507274,0.8831911303723162,1.0036418512463585,1000,90,1
90,2021-01-06,17.155256271362305,34.79787826538086,18.90483570098877,22.012434154510498,12.04284954071045,31.427438735961914,6.975064754486084,54.25438690185547,False,True,45.672447162399266,0.881,0.119,0.0026909118016335194,0.05294316925641583,0.9821828075962346,1.0114778284191035,1000,90,1
90,2021-01-07,16.031967163085938,31.17518424987793,18.52437400817871,21.0306866812706,10.922313690185547,30.923871994018555,6.198009967803955,50.18593978881836,False,True,40.579744903187716,0.842,0.158,0.0032782503921439518,0.05528280121664001,1.1965613931325425,1.0561764342574895,1000,90,1
90,2021-01-08,15.288084983825684,32.74489974975586,15.840149402618408,18.338033918380738,9.479397773742676,27.12323570251465,5.874478340148926,43.23077392578125,False,True,51.625598112461745,0.909,0.091,0.002432764087432177,0.05520037528014603,0.8879588919127446,1.0546016889518852,1000,90,1
90,2021-01-09,17.607513427734375,31.63246726989746,18.77021598815918,21.212845663070677,10.883163452148438,30.662250518798828,6.504122257232666,50.69969940185547,False,True,40.66154932523535,0.851,0.149,0.0020741115839132884,0.05545915131131716,0.7570507281283503,1.0595455980856243,1000,90,1
90,2021-01-10,16.2474308013916,31.899261474609375,17.965539932250977,21.212766298294067,10.632645606994629,30.994747161865234,6.122339248657227,51.90696716308594,False,True,43.68038913204659,0.847,0.153,0.002691108964253375,0.05725175409209846,0.9822547719524818,1.093793226125062,1000,90,1
90,2021-01-11,14.556933403015137,33.91918182373047,14.657654285430908,17.18902145886421,8.810535430908203,24.9223575592041,5.702273368835449,43.059547424316406,False,True,56.78653346769069,0.934,0.066,0.0019427277326418378,0.05771702183614377,0.7090956224142708,1.1026821538940277,1000,90,1
